Cr-soc-MOF-1 TCPT
MIL-101(Cr) BDC
MIL-101(Cr) BDC
MIL-101(Cr) BDC
MIL-101(Cr) BDC
LA2-Zr68-csq LA2
MIL-101(Cr) BDC
MIL-101(Cr) BDC
MIL-101(Cr) BDC
MIL-101(Cr) BDC
MIL-101(Cr) BDC
LB2-Zr68-csq LB2
NU-1000(Zr) TBAPy
Ni8(L5)6 L5
Zn2Co3(MFU-4l) BTDD
MIL-101(Cr)-NH2 NH2-BDC
Zn5(MFU-4l) BTDD
MIL-101(Cr)-pCOOH BDC-pCOOH
MIL-101(Cr)-pNH2 (NH2)-BDC
MIL-101(Cr) BDC
NU-1000(Zr) TBAPy
SALI-BA(Zr) "TBAPy
Ni8(L3)6 L3
Co2Cl2(BTDD) BTDD
MIL-101(Cr)-SO3H SO3H-BDC
MIL-101(Cr)-NH2 NH2-BDC
Zn3Co2(MFU-4l) BTDD
MIL-101(Cr)-NH2 NH2-BDC
Ni8(L4)6 L4
MOF-74(Ni)-TPP TPP
NU-1000(Zr)-SALI-1 CF3-TBAPy
MIL-100(Fe) BTC
MIL-101(Cr) BDC
Ni8(L5-(CF3)2)6 L5-(CF3)2
MOF-74(Ni)-BPP BPP
MIL-101(Cr)-NH2 BDC-NH2
MIL-100(Cr) (X=F) BTC
MIL-100(Fe) BTC
SALI-9’(Zr) "TBAPy
Ni2Cl2(BTDD) BTDD
MIL-100(Fe) BTC
ZnCo4(MFU-4l) BTDD
LB3-Zr68-flu LB3
LA2-Zr612-shp LA2
SALI-5(Zr) "TBAPy
MIL-100(Fe) BTC
HKUST-1(Cu) BTC
LA3-Zr68-flu LA3
MIL-101(Cr)-pMal BDC-pMal
LB2-Zr68-scu LB2
MIL-101(Cr)-p3SO3H BDC-p3SO3H
MIL-101(Cr)-NO2 NO2-BDC
Ni8(L5-(CH3)2)6 L5-(CH3)2
NU-1000(Zr)-SALI-3 CF3(CF2)2-TBAPy
MIL-125(Ti)-NH2 BDC-NH2
PIZOF-2(Zr) (OMe)2-PEDB
MIL-100(Cr) BTC
HKUST-1(Cu) BTC
MIL-101(Cr)-NO2 NO2-BDC
UiO-66(Zr)-NH3+Cl- BDC-NH3+Cl-
MOF-74(Mg) (OH)2-BDC
Ni8(L2)6 L2
Basolite™ C300(HKUST-1)(Cu) BTC
HKUST-1(Cu) BTC
MIL-100(Fe) BTC
MIL-100(Al) BTC
MOF-74(Mg) (OH)2-BDC
Basolite™ C300(HKUST-1)(Cu) BTC
MIL-100(Cr) (X=SO4) BTC
MIL-100(Cr) (X=Cl) BTC
BIT-72(Al) BDC-OH
MIL-101(Cr)-pNO2 (NO2)-BDC
MIL-125(Ti)-NH3+Cl- BDC-NH3+Cl-
MOF-808(Zr) BTC
Ni-MOF-74 DOBDC
BUT-46W(Zr) TPHB
Ni75Zn25-MOF-74 DOBDC
HKUST-1(Cu) BTC
UiO-66(Zr) BDC
CAU-1(Al) NH2-BDC
MIL-101(Cr)-pUR2 BDC-pUR2
DUT-51(Zr) DTTDC
MOF-74(Ni) (OH)2-BDC
Ni50Zn50-MOF-74 DOBDC
HKUST-1(Cu) BTC
MIL-125(Ti) BDC
BUT-46F(Zr) "TPHB
MIL-125(Ti)-NH2 BDC-NH2
Al-fumarate FA
Ni25Zn75-MOF-74 DOBDC
MIL-125(Ti)-NH2 NH2-BDC
DUT-4(Al) "2
MOF-74(Ni) (OH)2-BDC
MOF-841(Zr) MTB
BIT-73(Al) BDC-CH3
CAU-3(Al) BDC
HKUST-1(Cu) BTC
HKUST-1(Cu) BTC
DUT-67(Zr) TDC
UiO-66(Zr) BDC
MIL-100(Al) BTC
Al-fumarate FA
MIL-101(Cr)+POM BDC
UiO-67(Zr)-BN BNDCA
CAU-3(Al)-NH2 NH2-BDC
Zn4O(bfbpdc)3(bpy)0.5 bfbpdc/bpy
MOF-74(Co) (OH)2-BDC
Al-fumarate FA
Y-shp-MOF-5 BTEB
MOF-74(Ni) DOBDC
Ni-MOF-74 DOBDA
BUT-46A(Zr) "TPHB
MOF-74(Ni) DOBDC
Zn-MOF-74 DOBDC
BIT-74(Al) BDC-(CH3)2
BUT-46B(Zr) "TPHB
MOF-303(Al) PDC
MOF-303(Al) PDC
UiO-66(Zr)-NH2 NH2-BDC
MIL-125(Ti)-NH2 NH2-BDC
UiO-66(Zr) BDC
UiO-66(Zr) BDC
Al-fumarate FA
MIL-53(Al)-SO3H SO3H-BDC
Zn(NDI-H) NDI-H
MIL-101(Cr)-NO2 NO2-BDC
NU-1000(Zr)-SALI-7 CF3(CF2)6-TBAPy
Zn4O(dmcapz)3 dmcapz
Ni8(L1)6 L1
MIP-200(Zr) MDIP
SALI-9(Zr) "TBAPy
Cr3(BTC)2 BTC
MIL-53(Al)-TDC TDC
Co2Cl2BBTA BBTA
Al-fumarate FA
BUT-155(Cu) TDHB
DMOF-TM2(Zn) TMBDC/DABCO
MAF-7(Zn) MTZ
UiO-66(Zr) BDC
UiO-66(Zr) BDC
Ni-MOF BDP
MIL-101(Al)-NH2 NH2-BDC
MIL-100(Cr)-EG BTC
MAF-4.23-7.77 mIm/mTz
CAU-1(Al) BDC-NH2
UiO-66(Zr) BDC
MAF-4.49-7.51 mIm/mTz
MIL-125(Ti)-NH2 BDC-NH2
Al-Fumarate FA
Ni2Cl2BBTA BBTA
HKUST-1(Cu) BTC
"UiO-66(Zr)-2 5-(OMe)2"
CAU-23(Al) TDC
MIL-100(Cr)-DEG BTC
DMOF-TM(Cu) TMBDC/DABCO
MIL-53(Al)-(OH)2 (OH)2-BDC
MOF-801(Zr) FA
MOF-303(Al) (Scaled-up) PDC
DUT-67(Zr) TDC
CAU-6(Al) NH2-BDC
MFU-4(Zn) BBTA
DMOF-TM(Co) TMBDC/DABCO
MIL-100(Cr) BTC
MIL-101(Cr) BDC
DMOF-TM(Ni) TMBDC/DABCO
CAU-1(Al)-NHCH3 NHCH3-BDC
MIL-53(Al)-OH OH-BDC
MAF-4.76-7.24 mIm/mTz
MOF-801(Zr) FA
Mn2Cl2(BTDD) BTDD
Basolite™ F300 (Fe) BTC
Mn2(Gd-H-DOTA-4AmP)(H2O)7 Gd-H-DOTA-4AmP
MIL-160(Al) FDC
CAU-10(Al)-H "1
LC2-Zr612-fcu LC2
UiO-66(Zr) BDC
LA1-Zr68-csq LA1
[Cd(L’1)(Cl)](H2O) L’1
CAU-10(Al)-H "1
CAU-10(Al)-H "1
CAU-10(Al)-H "1
UiO-66(Zr)-NO2 NO2-BDC
MIL-125(Ti)-NH2 BDC-NH2
UiO-66(Zr)-NH2 BDC-NH2
Mg-CUK-1 PDC
UiO-66(Zr) BDC
UiO-66(Zr) BDC
CAU-10(Al)-H "1
UiO-66(Zr)-NO2 BDC-NO2
MIL-100(Cr)-EN BTC
UiO-66(Zr) BDC
MOF-801(Zr) FA
UiO-66(Zr)-NH2 NH2-BDC
UiO-66(Zr)-NH2 NH2-BDC
MIL-125(Ti) BDC
UiO-66(Zr) BDC
UiO-66(Zr) BDC
MIL-101(Al)-URPh URPh-BDC
MIL-53(Al)-(OH).68(NH2).32 NH2-/OH-BDC
CAU-10(Al)-H "1
MIL-125(Ti)-NH2 NH2-BDC
CAU-1 (Al) BDC-NH2
NU-1000(Zr)-SALI-9 CF3(CF2)8-TBAPy
Cu2Cl2BBTA BBTA
MOF-806(Zr) (OH)2-BPDC
UiO-66(Zr)-NH2 NH2-BDC
MIL-160(Al) FDC
DUT-68(Zr) TDC
LA1-Zr612-shp LA1
MOF-801(Zr) FA
MOF-805(Zr) (OH)2-NDC
MIL-100(Cr)-TEG BTC
MIL-68(In)-NH2 NH2-BDC
UiO-66D(Zr) ABDC
